0_coordinate1	1_coordinate1
150_coordinate9385	246_coordinate9385
150_coordinate9386	253_coordinate9386
150_coordinate9387	291_coordinate9387
150_coordinate9388	296_coordinate9388
150_coordinate9389	298_coordinate9389
150_coordinate9390	317_coordinate9390
150_coordinate9391	323_coordinate9391
150_coordinate9392	331_coordinate9392
150_coordinate9393	348_coordinate9393
150_coordinate9394	355_coordinate9394
150_coordinate9395	375_coordinate9395
150_coordinate9396	379_coordinate9396
150_coordinate9397	394_coordinate9397
150_coordinate9398	400_coordinate9398
150_coordinate9399	424_coordinate9399
150_coordinate9400	434_coordinate9400
150_coordinate9401	438_coordinate9401
150_coordinate9402	441_coordinate9402
150_coordinate9403	447_coordinate9403
150_coordinate9404	455_coordinate9404
150_coordinate9405	481_coordinate9405
150_coordinate9406	484_coordinate9406
150_coordinate9407	486_coordinate9407
150_coordinate9408	509_coordinate9408
150_coordinate9409	511_coordinate9409
151_coordinate9410	2_coordinate9410
151_coordinate9411	15_coordinate9411
151_coordinate9412	19_coordinate9412
151_coordinate9413	28_coordinate9413
151_coordinate9414	32_coordinate9414
151_coordinate9415	51_coordinate9415
151_coordinate9416	57_coordinate9416
151_coordinate9417	59_coordinate9417
151_coordinate9418	87_coordinate9418
151_coordinate9419	89_coordinate9419
151_coordinate9420	103_coordinate9420
151_coordinate9421	105_coordinate9421
151_coordinate9422	107_coordinate9422
151_coordinate9423	109_coordinate9423
151_coordinate9424	111_coordinate9424
151_coordinate9425	137_coordinate9425
151_coordinate9426	139_coordinate9426
151_coordinate9427	147_coordinate9427
151_coordinate9428	153_coordinate9428
151_coordinate9429	171_coordinate9429
151_coordinate9430	180_coordinate9430
151_coordinate9431	185_coordinate9431
151_coordinate9432	189_coordinate9432
151_coordinate9433	202_coordinate9433
151_coordinate9434	207_coordinate9434
151_coordinate9435	210_coordinate9435
151_coordinate9436	213_coordinate9436
151_coordinate9437	227_coordinate9437
151_coordinate9438	229_coordinate9438
151_coordinate9439	233_coordinate9439
151_coordinate9440	241_coordinate9440
151_coordinate9441	244_coordinate9441
151_coordinate9442	248_coordinate9442
151_coordinate9443	250_coordinate9443
151_coordinate9444	255_coordinate9444
151_coordinate9445	257_coordinate9445
151_coordinate9446	267_coordinate9446
151_coordinate9447	278_coordinate9447
151_coordinate9448	289_coordinate9448
151_coordinate9449	293_coordinate9449
151_coordinate9450	300_coordinate9450
151_coordinate9451	302_coordinate9451
151_coordinate9452	311_coordinate9452
151_coordinate9453	315_coordinate9453
151_coordinate9454	320_coordinate9454
151_coordinate9455	334_coordinate9455
151_coordinate9456	358_coordinate9456
151_coordinate9457	377_coordinate9457
151_coordinate9458	384_coordinate9458
151_coordinate9459	387_coordinate9459
151_coordinate9460	393_coordinate9460
151_coordinate9461	396_coordinate9461
151_coordinate9462	398_coordinate9462
151_coordinate9463	411_coordinate9463
151_coordinate9464	416_coordinate9464
151_coordinate9465	420_coordinate9465
151_coordinate9466	422_coordinate9466
151_coordinate9467	426_coordinate9467
151_coordinate9468	429_coordinate9468
151_coordinate9469	435_coordinate9469
151_coordinate9470	444_coordinate9470
151_coordinate9471	450_coordinate9471
151_coordinate9472	458_coordinate9472
151_coordinate9473	462_coordinate9473
151_coordinate9474	464_coordinate9474
151_coordinate9475	473_coordinate9475
151_coordinate9476	482_coordinate9476
151_coordinate9477	503_coordinate9477
152_coordinate9478	3_coordinate9478
152_coordinate9479	8_coordinate9479
152_coordinate9480	12_coordinate9480
152_coordinate9481	16_coordinate9481
152_coordinate9482	31_coordinate9482
152_coordinate9483	46_coordinate9483
152_coordinate9484	52_coordinate9484
152_coordinate9485	66_coordinate9485
152_coordinate9486	70_coordinate9486
152_coordinate9487	72_coordinate9487
152_coordinate9488	100_coordinate9488
152_coordinate9489	120_coordinate9489
152_coordinate9490	128_coordinate9490
152_coordinate9491	141_coordinate9491
152_coordinate9492	146_coordinate9492
152_coordinate9493	150_coordinate9493
152_coordinate9494	167_coordinate9494
152_coordinate9495	176_coordinate9495
152_coordinate9496	187_coordinate9496
152_coordinate9497	200_coordinate9497
152_coordinate9498	212_coordinate9498
152_coordinate9499	214_coordinate9499
152_coordinate9500	224_coordinate9500
152_coordinate9501	228_coordinate9501
152_coordinate9502	231_coordinate9502
152_coordinate9503	247_coordinate9503
152_coordinate9504	251_coordinate9504
152_coordinate9505	276_coordinate9505
152_coordinate9506	282_coordinate9506
152_coordinate9507	298_coordinate9507
152_coordinate9508	303_coordinate9508
152_coordinate9509	305_coordinate9509
152_coordinate9510	319_coordinate9510
152_coordinate9511	322_coordinate9511
152_coordinate9512	330_coordinate9512
152_coordinate9513	341_coordinate9513
152_coordinate9514	343_coordinate9514
152_coordinate9515	353_coordinate9515
152_coordinate9516	356_coordinate9516
152_coordinate9517	380_coordinate9517
152_coordinate9518	383_coordinate9518
152_coordinate9519	386_coordinate9519
152_coordinate9520	388_coordinate9520
152_coordinate9521	390_coordinate9521
152_coordinate9522	395_coordinate9522
152_coordinate9523	399_coordinate9523
152_coordinate9524	402_coordinate9524
152_coordinate9525	405_coordinate9525
152_coordinate9526	442_coordinate9526
152_coordinate9527	447_coordinate9527
152_coordinate9528	460_coordinate9528
152_coordinate9529	475_coordinate9529
152_coordinate9530	477_coordinate9530
152_coordinate9531	484_coordinate9531
152_coordinate9532	487_coordinate9532
152_coordinate9533	490_coordinate9533
152_coordinate9534	497_coordinate9534
152_coordinate9535	504_coordinate9535
153_coordinate9536	7_coordinate9536
153_coordinate9537	10_coordinate9537
153_coordinate9538	14_coordinate9538
153_coordinate9539	20_coordinate9539
153_coordinate9540	33_coordinate9540
153_coordinate9541	42_coordinate9541
153_coordinate9542	44_coordinate9542
153_coordinate9543	54_coordinate9543
153_coordinate9544	63_coordinate9544
153_coordinate9545	65_coordinate9545
153_coordinate9546	68_coordinate9546
153_coordinate9547	89_coordinate9547
153_coordinate9548	94_coordinate9548
153_coordinate9549	96_coordinate9549
153_coordinate9550	98_coordinate9550
153_coordinate9551	107_coordinate9551
153_coordinate9552	110_coordinate9552
153_coordinate9553	117_coordinate9553
153_coordinate9554	123_coordinate9554
153_coordinate9555	125_coordinate9555
153_coordinate9556	129_coordinate9556
153_coordinate9557	136_coordinate9557
153_coordinate9558	142_coordinate9558
153_coordinate9559	162_coordinate9559
153_coordinate9560	178_coordinate9560
153_coordinate9561	191_coordinate9561
153_coordinate9562	194_coordinate9562
153_coordinate9563	217_coordinate9563
153_coordinate9564	226_coordinate9564
153_coordinate9565	233_coordinate9565
153_coordinate9566	237_coordinate9566
153_coordinate9567	239_coordinate9567
153_coordinate9568	259_coordinate9568
153_coordinate9569	261_coordinate9569
153_coordinate9570	268_coordinate9570
153_coordinate9571	292_coordinate9571
153_coordinate9572	301_coordinate9572
153_coordinate9573	307_coordinate9573
153_coordinate9574	310_coordinate9574
153_coordinate9575	327_coordinate9575
153_coordinate9576	334_coordinate9576
153_coordinate9577	338_coordinate9577
153_coordinate9578	340_coordinate9578
153_coordinate9579	359_coordinate9579
153_coordinate9580	367_coordinate9580
153_coordinate9581	372_coordinate9581
153_coordinate9582	375_coordinate9582
153_coordinate9583	377_coordinate9583
153_coordinate9584	389_coordinate9584
153_coordinate9585	392_coordinate9585
153_coordinate9586	397_coordinate9586
153_coordinate9587	411_coordinate9587
153_coordinate9588	432_coordinate9588
153_coordinate9589	448_coordinate9589
153_coordinate9590	457_coordinate9590
153_coordinate9591	459_coordinate9591
153_coordinate9592	467_coordinate9592
153_coordinate9593	472_coordinate9593
153_coordinate9594	492_coordinate9594
153_coordinate9595	496_coordinate9595
153_coordinate9596	502_coordinate9596
153_coordinate9597	511_coordinate9597
154_coordinate9598	0_coordinate9598
154_coordinate9599	9_coordinate9599
154_coordinate9600	11_coordinate9600
154_coordinate9601	23_coordinate9601
154_coordinate9602	26_coordinate9602
154_coordinate9603	28_coordinate9603
154_coordinate9604	31_coordinate9604
154_coordinate9605	39_coordinate9605
154_coordinate9606	49_coordinate9606
154_coordinate9607	62_coordinate9607
154_coordinate9608	64_coordinate9608
154_coordinate9609	80_coordinate9609
154_coordinate9610	88_coordinate9610
154_coordinate9611	93_coordinate9611
154_coordinate9612	103_coordinate9612
154_coordinate9613	112_coordinate9613
154_coordinate9614	115_coordinate9614
154_coordinate9615	120_coordinate9615
154_coordinate9616	127_coordinate9616
154_coordinate9617	133_coordinate9617
154_coordinate9618	139_coordinate9618
154_coordinate9619	155_coordinate9619
154_coordinate9620	179_coordinate9620
154_coordinate9621	182_coordinate9621
154_coordinate9622	185_coordinate9622
154_coordinate9623	188_coordinate9623
154_coordinate9624	196_coordinate9624
154_coordinate9625	199_coordinate9625
154_coordinate9626	216_coordinate9626
154_coordinate9627	223_coordinate9627
154_coordinate9628	232_coordinate9628
154_coordinate9629	234_coordinate9629
154_coordinate9630	243_coordinate9630
154_coordinate9631	249_coordinate9631
154_coordinate9632	276_coordinate9632
154_coordinate9633	286_coordinate9633
154_coordinate9634	297_coordinate9634
154_coordinate9635	302_coordinate9635
154_coordinate9636	312_coordinate9636
154_coordinate9637	342_coordinate9637
154_coordinate9638	357_coordinate9638
154_coordinate9639	363_coordinate9639
154_coordinate9640	366_coordinate9640
154_coordinate9641	373_coordinate9641
154_coordinate9642	386_coordinate9642
154_coordinate9643	391_coordinate9643
154_coordinate9644	393_coordinate9644
154_coordinate9645	396_coordinate9645
154_coordinate9646	398_coordinate9646
154_coordinate9647	401_coordinate9647
154_coordinate9648	408_coordinate9648
154_coordinate9649	410_coordinate9649
154_coordinate9650	427_coordinate9650
154_coordinate9651	429_coordinate9651
154_coordinate9652	439_coordinate9652
154_coordinate9653	447_coordinate9653
154_coordinate9654	479_coordinate9654
154_coordinate9655	481_coordinate9655
154_coordinate9656	487_coordinate9656
154_coordinate9657	498_coordinate9657
154_coordinate9658	503_coordinate9658
154_coordinate9659	505_coordinate9659
155_coordinate9660	2_coordinate9660
155_coordinate9661	8_coordinate9661
155_coordinate9662	14_coordinate9662
155_coordinate9663	30_coordinate9663
155_coordinate9664	52_coordinate9664
155_coordinate9665	66_coordinate9665
155_coordinate9666	68_coordinate9666
155_coordinate9667	85_coordinate9667
155_coordinate9668	105_coordinate9668
155_coordinate9669	107_coordinate9669
155_coordinate9670	109_coordinate9670
155_coordinate9671	123_coordinate9671
155_coordinate9672	135_coordinate9672
155_coordinate9673	137_coordinate9673
155_coordinate9674	147_coordinate9674
155_coordinate9675	153_coordinate9675
155_coordinate9676	160_coordinate9676
155_coordinate9677	171_coordinate9677
155_coordinate9678	173_coordinate9678
155_coordinate9679	184_coordinate9679
155_coordinate9680	187_coordinate9680
155_coordinate9681	189_coordinate9681
155_coordinate9682	200_coordinate9682
155_coordinate9683	207_coordinate9683
155_coordinate9684	215_coordinate9684
155_coordinate9685	221_coordinate9685
155_coordinate9686	227_coordinate9686
155_coordinate9687	236_coordinate9687
155_coordinate9688	239_coordinate9688
155_coordinate9689	252_coordinate9689
155_coordinate9690	255_coordinate9690
155_coordinate9691	266_coordinate9691
155_coordinate9692	270_coordinate9692
155_coordinate9693	273_coordinate9693
155_coordinate9694	277_coordinate9694
155_coordinate9695	280_coordinate9695
155_coordinate9696	285_coordinate9696
155_coordinate9697	288_coordinate9697
155_coordinate9698	308_coordinate9698
155_coordinate9699	313_coordinate9699
155_coordinate9700	320_coordinate9700
155_coordinate9701	335_coordinate9701
155_coordinate9702	340_coordinate9702
155_coordinate9703	353_coordinate9703
155_coordinate9704	367_coordinate9704
155_coordinate9705	370_coordinate9705
155_coordinate9706	378_coordinate9706
155_coordinate9707	383_coordinate9707
155_coordinate9708	389_coordinate9708
155_coordinate9709	415_coordinate9709
155_coordinate9710	433_coordinate9710
155_coordinate9711	462_coordinate9711
155_coordinate9712	470_coordinate9712
155_coordinate9713	488_coordinate9713
155_coordinate9714	492_coordinate9714
155_coordinate9715	501_coordinate9715
155_coordinate9716	506_coordinate9716
155_coordinate9717	508_coordinate9717
155_coordinate9718	511_coordinate9718
156_coordinate9719	0_coordinate9719
156_coordinate9720	3_coordinate9720
156_coordinate9721	9_coordinate9721
156_coordinate9722	12_coordinate9722
156_coordinate9723	15_coordinate9723
156_coordinate9724	28_coordinate9724
156_coordinate9725	49_coordinate9725
156_coordinate9726	53_coordinate9726
156_coordinate9727	70_coordinate9727
156_coordinate9728	75_coordinate9728
156_coordinate9729	77_coordinate9729
156_coordinate9730	82_coordinate9730
156_coordinate9731	84_coordinate9731
156_coordinate9732	86_coordinate9732
156_coordinate9733	90_coordinate9733
156_coordinate9734	95_coordinate9734
156_coordinate9735	116_coordinate9735
156_coordinate9736	118_coordinate9736
156_coordinate9737	121_coordinate9737
156_coordinate9738	126_coordinate9738
156_coordinate9739	129_coordinate9739
156_coordinate9740	144_coordinate9740
156_coordinate9741	156_coordinate9741
156_coordinate9742	166_coordinate9742
156_coordinate9743	172_coordinate9743
156_coordinate9744	190_coordinate9744
156_coordinate9745	193_coordinate9745
156_coordinate9746	202_coordinate9746
156_coordinate9747	205_coordinate9747
156_coordinate9748	209_coordinate9748
156_coordinate9749	219_coordinate9749
156_coordinate9750	226_coordinate9750
156_coordinate9751	228_coordinate9751
156_coordinate9752	230_coordinate9752
156_coordinate9753	235_coordinate9753
156_coordinate9754	246_coordinate9754
156_coordinate9755	259_coordinate9755
156_coordinate9756	265_coordinate9756
156_coordinate9757	267_coordinate9757
156_coordinate9758	269_coordinate9758
156_coordinate9759	276_coordinate9759
156_coordinate9760	283_coordinate9760
156_coordinate9761	286_coordinate9761
156_coordinate9762	290_coordinate9762
156_coordinate9763	303_coordinate9763
156_coordinate9764	315_coordinate9764
156_coordinate9765	329_coordinate9765
156_coordinate9766	332_coordinate9766
156_coordinate9767	334_coordinate9767
156_coordinate9768	338_coordinate9768
156_coordinate9769	341_coordinate9769
156_coordinate9770	347_coordinate9770
156_coordinate9771	349_coordinate9771
156_coordinate9772	363_coordinate9772
156_coordinate9773	393_coordinate9773
156_coordinate9774	395_coordinate9774
156_coordinate9775	402_coordinate9775
156_coordinate9776	407_coordinate9776
156_coordinate9777	422_coordinate9777
156_coordinate9778	432_coordinate9778
156_coordinate9779	434_coordinate9779
156_coordinate9780	437_coordinate9780
156_coordinate9781	439_coordinate9781
156_coordinate9782	456_coordinate9782
156_coordinate9783	476_coordinate9783
156_coordinate9784	483_coordinate9784
156_coordinate9785	486_coordinate9785
156_coordinate9786	494_coordinate9786
156_coordinate9787	496_coordinate9787
156_coordinate9788	510_coordinate9788
157_coordinate9789	6_coordinate9789
157_coordinate9790	16_coordinate9790
157_coordinate9791	18_coordinate9791
157_coordinate9792	39_coordinate9792
157_coordinate9793	43_coordinate9793
157_coordinate9794	47_coordinate9794
157_coordinate9795	58_coordinate9795
157_coordinate9796	66_coordinate9796
157_coordinate9797	68_coordinate9797
157_coordinate9798	100_coordinate9798
157_coordinate9799	105_coordinate9799
157_coordinate9800	109_coordinate9800
157_coordinate9801	127_coordinate9801
157_coordinate9802	145_coordinate9802
157_coordinate9803	159_coordinate9803
157_coordinate9804	164_coordinate9804
157_coordinate9805	180_coordinate9805
157_coordinate9806	183_coordinate9806
157_coordinate9807	185_coordinate9807
157_coordinate9808	189_coordinate9808
157_coordinate9809	198_coordinate9809
157_coordinate9810	200_coordinate9810
157_coordinate9811	207_coordinate9811
157_coordinate9812	245_coordinate9812
157_coordinate9813	261_coordinate9813
157_coordinate9814	271_coordinate9814
157_coordinate9815	274_coordinate9815
157_coordinate9816	277_coordinate9816
157_coordinate9817	281_coordinate9817
157_coordinate9818	305_coordinate9818
157_coordinate9819	328_coordinate9819
157_coordinate9820	331_coordinate9820
157_coordinate9821	344_coordinate9821
157_coordinate9822	350_coordinate9822
157_coordinate9823	359_coordinate9823
157_coordinate9824	362_coordinate9824
157_coordinate9825	365_coordinate9825
157_coordinate9826	370_coordinate9826
157_coordinate9827	376_coordinate9827
157_coordinate9828	380_coordinate9828
157_coordinate9829	394_coordinate9829
157_coordinate9830	409_coordinate9830
157_coordinate9831	426_coordinate9831
157_coordinate9832	431_coordinate9832
157_coordinate9833	441_coordinate9833
157_coordinate9834	459_coordinate9834
157_coordinate9835	462_coordinate9835
157_coordinate9836	471_coordinate9836
157_coordinate9837	481_coordinate9837
157_coordinate9838	484_coordinate9838
157_coordinate9839	488_coordinate9839
157_coordinate9840	495_coordinate9840
157_coordinate9841	504_coordinate9841
157_coordinate9842	507_coordinate9842
158_coordinate9843	2_coordinate9843
158_coordinate9844	10_coordinate9844
158_coordinate9845	15_coordinate9845
158_coordinate9846	27_coordinate9846
158_coordinate9847	33_coordinate9847
158_coordinate9848	41_coordinate9848
158_coordinate9849	49_coordinate9849
158_coordinate9850	60_coordinate9850
158_coordinate9851	64_coordinate9851
158_coordinate9852	81_coordinate9852
158_coordinate9853	89_coordinate9853
158_coordinate9854	92_coordinate9854
158_coordinate9855	94_coordinate9855
158_coordinate9856	97_coordinate9856
158_coordinate9857	103_coordinate9857
158_coordinate9858	120_coordinate9858
158_coordinate9859	129_coordinate9859
158_coordinate9860	131_coordinate9860
158_coordinate9861	134_coordinate9861
158_coordinate9862	136_coordinate9862
158_coordinate9863	139_coordinate9863
158_coordinate9864	148_coordinate9864
158_coordinate9865	153_coordinate9865
158_coordinate9866	155_coordinate9866
158_coordinate9867	157_coordinate9867
158_coordinate9868	173_coordinate9868
158_coordinate9869	175_coordinate9869
158_coordinate9870	193_coordinate9870
158_coordinate9871	195_coordinate9871
158_coordinate9872	202_coordinate9872
158_coordinate9873	211_coordinate9873
158_coordinate9874	218_coordinate9874
158_coordinate9875	230_coordinate9875
158_coordinate9876	243_coordinate9876
158_coordinate9877	248_coordinate9877
158_coordinate9878	252_coordinate9878
158_coordinate9879	257_coordinate9879
158_coordinate9880	265_coordinate9880
158_coordinate9881	267_coordinate9881
158_coordinate9882	291_coordinate9882
158_coordinate9883	302_coordinate9883
158_coordinate9884	304_coordinate9884
158_coordinate9885	332_coordinate9885
158_coordinate9886	335_coordinate9886
158_coordinate9887	347_coordinate9887
158_coordinate9888	353_coordinate9888
158_coordinate9889	357_coordinate9889
158_coordinate9890	373_coordinate9890
158_coordinate9891	387_coordinate9891
158_coordinate9892	393_coordinate9892
158_coordinate9893	395_coordinate9893
158_coordinate9894	400_coordinate9894
158_coordinate9895	417_coordinate9895
158_coordinate9896	428_coordinate9896
158_coordinate9897	433_coordinate9897
158_coordinate9898	447_coordinate9898
158_coordinate9899	450_coordinate9899
158_coordinate9900	454_coordinate9900
158_coordinate9901	461_coordinate9901
158_coordinate9902	490_coordinate9902
158_coordinate9903	500_coordinate9903
158_coordinate9904	503_coordinate9904
159_coordinate9905	1_coordinate9905
159_coordinate9906	5_coordinate9906
159_coordinate9907	11_coordinate9907
159_coordinate9908	14_coordinate9908
159_coordinate9909	25_coordinate9909
159_coordinate9910	31_coordinate9910
159_coordinate9911	36_coordinate9911
159_coordinate9912	43_coordinate9912
159_coordinate9913	50_coordinate9913
159_coordinate9914	53_coordinate9914
159_coordinate9915	55_coordinate9915
159_coordinate9916	67_coordinate9916
159_coordinate9917	88_coordinate9917
159_coordinate9918	90_coordinate9918
159_coordinate9919	96_coordinate9919
159_coordinate9920	112_coordinate9920
159_coordinate9921	133_coordinate9921
159_coordinate9922	135_coordinate9922
159_coordinate9923	146_coordinate9923
159_coordinate9924	160_coordinate9924
159_coordinate9925	192_coordinate9925
159_coordinate9926	197_coordinate9926
159_coordinate9927	203_coordinate9927
159_coordinate9928	221_coordinate9928
159_coordinate9929	235_coordinate9929
159_coordinate9930	239_coordinate9930
159_coordinate9931	246_coordinate9931
159_coordinate9932	249_coordinate9932
159_coordinate9933	255_coordinate9933
159_coordinate9934	259_coordinate9934
159_coordinate9935	263_coordinate9935
159_coordinate9936	268_coordinate9936
159_coordinate9937	280_coordinate9937
159_coordinate9938	283_coordinate9938
159_coordinate9939	288_coordinate9939
159_coordinate9940	296_coordinate9940
159_coordinate9941	299_coordinate9941
159_coordinate9942	301_coordinate9942
159_coordinate9943	319_coordinate9943
159_coordinate9944	329_coordinate9944
159_coordinate9945	341_coordinate9945
159_coordinate9946	350_coordinate9946
159_coordinate9947	355_coordinate9947
159_coordinate9948	363_coordinate9948
159_coordinate9949	368_coordinate9949
159_coordinate9950	386_coordinate9950
159_coordinate9951	390_coordinate9951
159_coordinate9952	404_coordinate9952
159_coordinate9953	409_coordinate9953
159_coordinate9954	412_coordinate9954
159_coordinate9955	415_coordinate9955
159_coordinate9956	432_coordinate9956
159_coordinate9957	436_coordinate9957
159_coordinate9958	442_coordinate9958
159_coordinate9959	452_coordinate9959
159_coordinate9960	466_coordinate9960
159_coordinate9961	472_coordinate9961
159_coordinate9962	474_coordinate9962
159_coordinate9963	476_coordinate9963
159_coordinate9964	479_coordinate9964
159_coordinate9965	483_coordinate9965
159_coordinate9966	485_coordinate9966
159_coordinate9967	492_coordinate9967
159_coordinate9968	511_coordinate9968
160_coordinate9969	12_coordinate9969
160_coordinate9970	19_coordinate9970
160_coordinate9971	22_coordinate9971
160_coordinate9972	58_coordinate9972
160_coordinate9973	93_coordinate9973
160_coordinate9974	99_coordinate9974
160_coordinate9975	101_coordinate9975
160_coordinate9976	113_coordinate9976
160_coordinate9977	138_coordinate9977
160_coordinate9978	140_coordinate9978
160_coordinate9979	155_coordinate9979
160_coordinate9980	158_coordinate9980
160_coordinate9981	164_coordinate9981
160_coordinate9982	171_coordinate9982
160_coordinate9983	181_coordinate9983
160_coordinate9984	184_coordinate9984
160_coordinate9985	190_coordinate9985
160_coordinate9986	194_coordinate9986
160_coordinate9987	198_coordinate9987
160_coordinate9988	200_coordinate9988
160_coordinate9989	207_coordinate9989
160_coordinate9990	210_coordinate9990
160_coordinate9991	217_coordinate9991
160_coordinate9992	227_coordinate9992
160_coordinate9993	242_coordinate9993
160_coordinate9994	244_coordinate9994
160_coordinate9995	247_coordinate9995
160_coordinate9996	257_coordinate9996
160_coordinate9997	262_coordinate9997
160_coordinate9998	265_coordinate9998
160_coordinate9999	271_coordinate9999
160_coordinate10000	294_coordinate10000
160_coordinate10001	305_coordinate10001
160_coordinate10002	308_coordinate10002
160_coordinate10003	317_coordinate10003
160_coordinate10004	323_coordinate10004
160_coordinate10005	334_coordinate10005
160_coordinate10006	337_coordinate10006
160_coordinate10007	344_coordinate10007
160_coordinate10008	352_coordinate10008
160_coordinate10009	354_coordinate10009
160_coordinate10010	358_coordinate10010
160_coordinate10011	366_coordinate10011
160_coordinate10012	375_coordinate10012
160_coordinate10013	378_coordinate10013
160_coordinate10014	381_coordinate10014
160_coordinate10015	391_coordinate10015
160_coordinate10016	396_coordinate10016
160_coordinate10017	408_coordinate10017
160_coordinate10018	410_coordinate10018
160_coordinate10019	414_coordinate10019
160_coordinate10020	421_coordinate10020
160_coordinate10021	430_coordinate10021
160_coordinate10022	457_coordinate10022
160_coordinate10023	462_coordinate10023
160_coordinate10024	464_coordinate10024
160_coordinate10025	470_coordinate10025
160_coordinate10026	475_coordinate10026
160_coordinate10027	477_coordinate10027
160_coordinate10028	489_coordinate10028
160_coordinate10029	496_coordinate10029
160_coordinate10030	499_coordinate10030
161_coordinate10031	1_coordinate10031
161_coordinate10032	3_coordinate10032
161_coordinate10033	11_coordinate10033
161_coordinate10034	18_coordinate10034
161_coordinate10035	20_coordinate10035
161_coordinate10036	25_coordinate10036
161_coordinate10037	27_coordinate10037
161_coordinate10038	37_coordinate10038
161_coordinate10039	42_coordinate10039
161_coordinate10040	59_coordinate10040
161_coordinate10041	61_coordinate10041
161_coordinate10042	63_coordinate10042
161_coordinate10043	65_coordinate10043
161_coordinate10044	70_coordinate10044
161_coordinate10045	74_coordinate10045
161_coordinate10046	83_coordinate10046
161_coordinate10047	86_coordinate10047
161_coordinate10048	90_coordinate10048
161_coordinate10049	97_coordinate10049
161_coordinate10050	106_coordinate10050
161_coordinate10051	112_coordinate10051
161_coordinate10052	114_coordinate10052
161_coordinate10053	122_coordinate10053
161_coordinate10054	146_coordinate10054
161_coordinate10055	148_coordinate10055
161_coordinate10056	151_coordinate10056
161_coordinate10057	159_coordinate10057
161_coordinate10058	169_coordinate10058
161_coordinate10059	172_coordinate10059
161_coordinate10060	183_coordinate10060
161_coordinate10061	187_coordinate10061
161_coordinate10062	195_coordinate10062
161_coordinate10063	206_coordinate10063
161_coordinate10064	212_coordinate10064
161_coordinate10065	216_coordinate10065
161_coordinate10066	220_coordinate10066
161_coordinate10067	233_coordinate10067
161_coordinate10068	240_coordinate10068
161_coordinate10069	246_coordinate10069
161_coordinate10070	251_coordinate10070
161_coordinate10071	254_coordinate10071
161_coordinate10072	261_coordinate10072
161_coordinate10073	264_coordinate10073
161_coordinate10074	267_coordinate10074
161_coordinate10075	269_coordinate10075
161_coordinate10076	279_coordinate10076
161_coordinate10077	296_coordinate10077
161_coordinate10078	306_coordinate10078
161_coordinate10079	316_coordinate10079
161_coordinate10080	333_coordinate10080
161_coordinate10081	361_coordinate10081
161_coordinate10082	365_coordinate10082
161_coordinate10083	367_coordinate10083
161_coordinate10084	382_coordinate10084
161_coordinate10085	399_coordinate10085
161_coordinate10086	406_coordinate10086
161_coordinate10087	413_coordinate10087
161_coordinate10088	416_coordinate10088
161_coordinate10089	419_coordinate10089
161_coordinate10090	426_coordinate10090
161_coordinate10091	440_coordinate10091
161_coordinate10092	443_coordinate10092
161_coordinate10093	450_coordinate10093
161_coordinate10094	461_coordinate10094
161_coordinate10095	476_coordinate10095
161_coordinate10096	479_coordinate10096
161_coordinate10097	491_coordinate10097
161_coordinate10098	493_coordinate10098
161_coordinate10099	495_coordinate10099
161_coordinate10100	500_coordinate10100
161_coordinate10101	502_coordinate10101
161_coordinate10102	509_coordinate10102
162_coordinate10103	7_coordinate10103
162_coordinate10104	13_coordinate10104
162_coordinate10105	17_coordinate10105
162_coordinate10106	24_coordinate10106
162_coordinate10107	28_coordinate10107
162_coordinate10108	33_coordinate10108
162_coordinate10109	46_coordinate10109
162_coordinate10110	73_coordinate10110
162_coordinate10111	75_coordinate10111
162_coordinate10112	79_coordinate10112
162_coordinate10113	87_coordinate10113
162_coordinate10114	113_coordinate10114
162_coordinate10115	116_coordinate10115
162_coordinate10116	124_coordinate10116
162_coordinate10117	128_coordinate10117
162_coordinate10118	132_coordinate10118
162_coordinate10119	143_coordinate10119
162_coordinate10120	154_coordinate10120
162_coordinate10121	163_coordinate10121
162_coordinate10122	175_coordinate10122
162_coordinate10123	178_coordinate10123
162_coordinate10124	199_coordinate10124
162_coordinate10125	208_coordinate10125
162_coordinate10126	217_coordinate10126
162_coordinate10127	238_coordinate10127
162_coordinate10128	252_coordinate10128
162_coordinate10129	257_coordinate10129
162_coordinate10130	266_coordinate10130
162_coordinate10131	268_coordinate10131
162_coordinate10132	287_coordinate10132
162_coordinate10133	324_coordinate10133
162_coordinate10134	326_coordinate10134
162_coordinate10135	337_coordinate10135
162_coordinate10136	345_coordinate10136
162_coordinate10137	364_coordinate10137
162_coordinate10138	368_coordinate10138
162_coordinate10139	370_coordinate10139
162_coordinate10140	372_coordinate10140
162_coordinate10141	379_coordinate10141
162_coordinate10142	387_coordinate10142
162_coordinate10143	396_coordinate10143
162_coordinate10144	404_coordinate10144
162_coordinate10145	407_coordinate10145
162_coordinate10146	424_coordinate10146
162_coordinate10147	428_coordinate10147
162_coordinate10148	442_coordinate10148
162_coordinate10149	451_coordinate10149
162_coordinate10150	463_coordinate10150
162_coordinate10151	496_coordinate10151
162_coordinate10152	504_coordinate10152
162_coordinate10153	507_coordinate10153
163_coordinate10154	8_coordinate10154
163_coordinate10155	11_coordinate10155
163_coordinate10156	14_coordinate10156
163_coordinate10157	18_coordinate10157
163_coordinate10158	27_coordinate10158
163_coordinate10159	29_coordinate10159
163_coordinate10160	38_coordinate10160
